order_id,customer_id,product_category,product_price,quantity,order_date,region,payment_method,delivery_days,is_returned,customer_rating,discount_percent,revenue
1,bdd640fb-0667-4ad1-9c80-317fa3b1799d,Beauty,190.4,5,2/21/2023,Europe,BankTransfer,8,0,3.8,0,952
2,23b8c1e9-3924-46de-beb1-3b9046685257,Fashion,82.22,3,10/13/2023,North America,CreditCard,5,0,3.8,0,246.66
3,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Beauty,15.19,2,6/28/2023,Oceania,Cash,6,1,2,10,27.34
4,972a8469-1641-4f82-8b9d-2434e465e150,Electronics,310.65,2,7/11/2023,Europe,PayPal,9,0,2.9,5,590.23
5,17fc695a-07a0-4a6e-8822-e8f36c031199,Fashion,74.05,4,2/24/2023,Africa,PayPal,3,1,3.1,20,236.96
6,9a1de644-815e-46d1-bb8f-aa1837f8a88b,Beauty,236.05,5,5/9/2025,Oceania,PayPal,5,0,3.4,5,1121.24
7,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Sports,471.39,2,7/23/2024,Africa,CreditCard,5,0,2.7,0,942.78
8,6b65a6a4-8b81-48f6-b38a-088ca65ed389,Automotive,343.22,4,5/15/2025,North America,BankTransfer,3,0,4.7,0,1372.88
9,47378190-96da-4dac-b2ff-5d2a386ecbe0,Home,332.95,2,3/16/2024,North America,BankTransfer,6,0,3.6,0,665.9
10,c241330b-01a9-471f-9e8a-774bcf36d58b,Electronics,484.94,2,2/17/2025,Europe,CreditCard,4,0,3.8,0,969.88
